# dates,infections,hospitalizations,deaths,mean_r_t
2020-08-31,546.9072796461826,130.0,1.6752752446915466,0.9686036360035667
2020-09-01,546.1507478548482,130.0,1.6820588094542277,0.9705469863505266
2020-09-02,545.6170548805114,129.0,1.6878724693332248,0.972506226036418
2020-09-03,545.3073207724086,128.0,1.6927155999830015,0.9744783435643433
2020-09-04,545.2194638090284,127.0,1.696613110191452,0.976461085581298
2020-09-05,545.3518990387921,127.0,1.6996193868015264,0.9784527638239625
2020-09-06,545.7042068816546,126.0,1.7018150426185887,0.9804521116323334
2020-09-07,546.3497184031158,125.0,1.703301809968659,0.9825930607690763
2020-09-08,547.2131978230061,124.0,1.7040236383785534,0.9847359753856746
2020-09-09,548.3098956416837,124.0,1.7039824583131362,0.986900955816268
2020-09-10,549.6525837403652,123.0,1.7032902825041236,0.9891038055712723
2020-09-11,551.2677623383162,123.0,1.7020617445076813,0.991376997015865
2020-09-12,553.1791662751524,122.0,1.7004085410611651,0.9937449260390526
2020-09-13,555.3628629749221,122.0,1.698433497984956,0.996164703258865
2020-09-14,557.8125388038969,121.0,1.6962257063951878,0.9986154909921023
2020-09-15,560.539844144647,121.0,1.693863917217613,1.0010977127498417
2020-09-16,563.5565755410049,121.0,1.69141953676583,1.0036103329106727
2020-09-17,566.8739198738622,120.0,1.6889577583252,1.0061521900213737
2020-09-18,570.4872007885949,120.0,1.6865382766823225,1.008708352452125
2020-09-19,574.3938011420565,120.0,1.6842143288627707,1.0112682026145305
2020-09-20,578.598435047208,120.0,1.682034544109328,1.0138285856100684
2020-09-21,583.1088800038771,120.0,1.680044574158472,1.0163892170376505
2020-09-22,587.9333168343675,120.0,1.6782884953594122,1.0189505634543166
2020-09-23,593.0760224640145,120.0,1.6768103105057777,1.0215109171111971
2020-09-24,598.5401049612063,120.0,1.675627266794467,1.0240679820556375
2020-09-25,604.3308244206482,120.0,1.674782119248417,1.0266206367554787
2020-09-26,610.4554925895924,120.0,1.674316958993912,1.0291687363060422
2020-09-27,616.9225699784255,120.0,1.6742726556229273,1.0317126529734046
2020-09-28,623.7400507159853,121.0,1.6746891964559036,1.0342524567740838
2020-09-29,630.9155020263929,121.0,1.6756066529082578,1.036787847194659
2020-09-30,638.4570997570655,122.0,1.6770643836312173,1.0393185334584158
2020-10-01,646.3741120752032,122.0,1.6791003884724127,1.0418444161304619
2020-10-02,654.6768143520569,123.0,1.6817505584469625,1.0443655741856426
2020-10-03,663.3760096802401,123.0,1.68504773614488,1.046882098270648
2020-10-04,672.4828080699812,124.0,1.6890241873134717,1.049393989898624
2020-10-05,682.0088347385448,125.0,1.693710650973237,1.051901197335621
2020-10-06,691.9664832351627,125.0,1.6991359887331956,1.0544036769677392
2020-10-07,702.36901574811,126.0,1.705326767285027,1.0569014227748748
2020-10-08,713.2304845993435,127.0,1.712305364433225,1.0593944468978174
2020-10-09,724.5656403956226,128.0,1.7200948589188048,1.0618827481504913
2020-10-10,736.389956724576,129.0,1.7287175825611232,1.0643663036750959
2020-10-11,748.7197270877248,130.0,1.738195010265104,1.0668450785773063
2020-10-12,761.5721515107834,132.0,1.7485473399070461,1.0693190373329744
2020-10-13,774.9653689615103,133.0,1.7597933803578316,1.0717881456115985
2020-10-14,788.918460049729,134.0,1.7719521338777167,1.0742523643678386
2020-10-15,803.4514687519929,136.0,1.7850433663385104,1.076711644891649
2020-10-16,818.5854550105323,137.0,1.799087463085951,1.07916592831171
2020-10-17,834.3425600262162,139.0,1.814105310938084,1.081615147742061
2020-10-18,850.7460633334471,140.0,1.8301182016529687,1.084059229709467
2020-10-19,867.8204283622911,142.0,1.8471483858130338,1.0864980935160164
2020-10-20,885.5913485083785,144.0,1.865219452140294,1.0889316497139911
2020-10-21,904.0858031213197,146.0,1.884356409592241,1.0913597990887647
2020-10-22,923.3321228665566,148.0,1.9045856451155485,1.093782432469877
2020-10-23,943.3600583969788,150.0,1.92593483869545,1.0961994308089409
2020-10-24,964.2008484964048,152.0,1.9484331228015082,1.098610664940292
2020-10-25,985.8872892001606,155.0,1.97211126191064,1.1010159949734717
2020-10-26,1008.4538073357883,157.0,1.9970017596350498,1.103415269596587
2020-10-27,1031.9365400653319,159.0,2.023138927954595,1.1058083255044602
2020-10-28,1056.3734195619488,162.0,2.0505589181840613,1.1081949869403622
2020-10-29,1081.8042613814457,165.0,2.0792997621371367,1.1105750652183763
2020-10-30,1108.2708562921307,168.0,2.1094014717110077,1.1129483581450004
2020-10-31,1135.8170664656568,171.0,2.1409061726364826,1.1153146493578001
