the_geom,the_geom_webmercator,collection_date,count,test_result
,,06.11.20,838,positive
,,07.11.20,6423,negative
,,07.11.20,491,positive
,,08.11.20,465,positive
,,08.11.20,4584,negative
,,09.11.20,5167,negative
,,09.11.20,1012,positive
,,10.11.20,6685,negative
,,10.11.20,1088,positive
,,11.11.20,7919,negative
,,11.11.20,1115,positive
,,12.11.20,8100,negative
,,12.11.20,1125,positive
,,13.11.20,1018,positive
,,13.11.20,8828,negative
,,14.11.20,5961,negative
,,14.11.20,635,positive
,,15.11.20,5810,negative
,,15.11.20,519,positive
,,16.11.20,1167,positive
,,16.11.20,6038,negative
,,17.11.20,1082,positive
,,17.11.20,7923,negative
,,18.11.20,1174,positive
,,18.11.20,8262,negative
,,19.11.20,1127,positive
,,19.11.20,8313,negative
,,20.11.20,1050,positive
,,20.11.20,9526,negative
,,21.11.20,651,positive
,,21.11.20,7747,negative
,,22.11.20,7426,negative
,,22.11.20,511,positive
,,23.11.20,1282,positive
,,23.11.20,7177,negative
,,24.11.20,8518,negative
,,24.11.20,1216,positive
,,25.11.20,1119,positive
,,25.11.20,8993,negative
,,26.11.20,5993,negative
,,26.11.20,286,positive
,,27.11.20,6102,negative
,,27.11.20,896,positive
,,28.11.20,642,positive
,,28.11.20,4860,negative
,,29.11.20,547,positive
,,29.11.20,4719,negative
,,30.11.20,5510,negative
,,30.11.20,1248,positive
,,01.12.20,7305,negative
,,01.12.20,1277,positive
,,02.12.20,7766,negative
,,02.12.20,1342,positive
,,03.12.20,8422,negative
,,03.12.20,1306,positive
,,04.12.20,8414,negative
,,04.12.20,1149,positive
,,05.12.20,6355,negative
,,05.12.20,685,positive
,,06.12.20,5127,negative
,,06.12.20,519,positive
,,07.12.20,1233,positive
,,07.12.20,6459,negative
,,08.12.20,7410,negative
,,08.12.20,1157,positive
,,09.12.20,1118,positive
,,09.12.20,7974,negative
,,10.12.20,1131,positive
,,10.12.20,8236,negative
,,11.12.20,915,positive
,,11.12.20,8846,negative
,,12.12.20,6063,negative
,,12.12.20,510,positive
,,13.12.20,356,positive
,,13.12.20,5783,negative
,,14.12.20,988,positive
,,14.12.20,6464,negative
,,15.12.20,7247,negative
,,15.12.20,996,positive
,,16.12.20,7806,negative
,,16.12.20,683,positive
,,17.12.20,6783,negative
,,17.12.20,577,positive
,,18.12.20,794,positive
,,18.12.20,8210,negative
,,19.12.20,457,positive
,,19.12.20,6424,negative
,,20.12.20,350,positive
,,20.12.20,5751,negative
,,21.12.20,5980,negative
,,21.12.20,910,positive
,,22.12.20,7064,negative
,,22.12.20,847,positive
,,23.12.20,7637,negative
,,23.12.20,829,positive
,,24.12.20,7533,negative
,,24.12.20,547,positive
,,25.12.20,164,positive
,,25.12.20,4246,negative
,,26.12.20,4281,negative
,,26.12.20,398,positive
,,27.12.20,301,positive
,,27.12.20,3803,negative
,,28.12.20,4663,negative
,,28.12.20,830,positive
,,29.12.20,787,positive
,,29.12.20,6131,negative
,,30.12.20,7079,negative
,,30.12.20,661,positive
,,31.12.20,7278,negative
,,31.12.20,530,positive
,,01.01.21,186,positive
,,01.01.21,4793,negative
,,02.01.21,435,positive
,,02.01.21,4344,negative
,,03.01.21,366,positive
,,03.01.21,3911,negative
,,04.01.21,847,positive
,,04.01.21,6023,negative
,,05.01.21,796,positive
,,05.01.21,6897,negative
,,06.01.21,7233,negative
,,06.01.21,707,positive
,,07.01.21,7460,negative
,,07.01.21,653,positive
,,08.01.21,8172,negative
,,08.01.21,667,positive
,,09.01.21,6268,negative
,,09.01.21,378,positive
,,10.01.21,259,positive
,,10.01.21,4375,negative
,,11.01.21,654,positive
,,11.01.21,5837,negative
,,12.01.21,6220,negative
,,12.01.21,448,positive
,,13.01.21,3755,negative
,,13.01.21,304,positive
,,14.01.21,89,positive
,,14.01.21,3373,negative
,,15.01.21,424,negative
